"","Gene_name","tissue","value","family"
"185","Gr42___FeAnSF","FeAnSF",0.0653688089769112,"Gr"
"186","Gr62___FeAnSF","FeAnSF",0.0637226417877099,"Gr"
"187","Gr47___FeAnSF","FeAnSF",0.0635345744197875,"Gr"
"188","Or19___FeAnSF","FeAnSF",0.0582565777192681,"Or"
"189","Ir120___FeAnSF","FeAnSF",0.0571547225636725,"Ir"
"190","Gr67___FeAnSF","FeAnSF",0.0542970333480806,"Gr"
"191","Ir107___FeAnSF","FeAnSF",0.0514214391599607,"Ir"
"192","Ir161___FeAnSF","FeAnSF",0.0425859042497118,"Ir"
"193","Gr3___FeAnSF","FeAnSF",0.0422039488774799,"Gr"
"194","Ir105___FeAnSF","FeAnSF",0.0404305747206694,"Ir"
"195","Ir7m___FeAnSF","FeAnSF",0.0390011741117858,"Ir"
"196","Gr36___FeAnSF","FeAnSF",0.0388466058093987,"Gr"
"197","Ir106___FeAnSF","FeAnSF",0.03505206344851,"Ir"
"198","Ir7e___FeAnSF","FeAnSF",0.0349176588730699,"Ir"
"199","Gr18___FeAnSF","FeAnSF",0.0347500636389478,"Gr"
"200","Ir7r___FeAnSF","FeAnSF",0.0340686973372184,"Ir"
"201","Gr73___FeAnSF","FeAnSF",0.0336725552497326,"Gr"
"202","Ir159___FeAnSF","FeAnSF",0.0325656787093134,"Ir"
"203","Gr31___FeAnSF","FeAnSF",0.0295493728084145,"Gr"
"204","Gr44___FeAnSF","FeAnSF",0.0291038856243932,"Gr"
"205","Ir7a___FeAnSF","FeAnSF",0.0288621902140565,"Ir"
"206","Ir157___FeAnSF","FeAnSF",0.0282896828440414,"Ir"
"207","Ir7l___FeAnSF","FeAnSF",0.0277556611743172,"Ir"
"208","Ir7f___FeAnSF","FeAnSF",0.027623280790337,"Ir"
"209","Gr68___FeAnSF","FeAnSF",0.0276169866842737,"Gr"
"210","Ir149___FeAnSF","FeAnSF",0.02736617372485,"Ir"
"211","Gr30___FeAnSF","FeAnSF",0.0273192176954884,"Gr"
"212","Ir7q___FeAnSF","FeAnSF",0.0267682553676226,"Ir"
"213","Gr74___FeAnSF","FeAnSF",0.0261148064017588,"Gr"
"214","Or18___FeAnSF","FeAnSF",0.025487307049161,"Or"
"215","Ir137___FeAnSF","FeAnSF",0.0250072348599799,"Ir"
"216","Ir109___FeAnSF","FeAnSF",0.0249323050258922,"Ir"
"217","Or108___FeAnSF","FeAnSF",0.024247468061123,"Or"
"218","Or89___FeAnSF","FeAnSF",0.0241895657603469,"Or"
"219","Gr9___FeAnSF","FeAnSF",0.0232998510822686,"Gr"
"220","Gr63___FeAnSF","FeAnSF",0.0228018652330425,"Gr"
"221","Gr55___FeAnSF","FeAnSF",0.0217914201312753,"Gr"
"222","Ir7c___FeAnSF","FeAnSF",0.0217187838016745,"Ir"
"223","Ir7d___FeAnSF","FeAnSF",0.0209505814238148,"Ir"
"224","Gr37___FeAnSF","FeAnSF",0.0196195148198052,"Gr"
"225","Ir150___FeAnSF","FeAnSF",0.0193056087682004,"Ir"
"226","Gr80___FeAnSF","FeAnSF",0.0190015587046272,"Gr"
"227","Gr54___FeAnSF","FeAnSF",0.0183746370719097,"Gr"
"228","Ir163___FeAnSF","FeAnSF",0.0181638779095946,"Ir"
"229","Or73___FeAnSF","FeAnSF",0.0179940195772951,"Or"
"230","Gr17___FeAnSF","FeAnSF",0.0174869552728085,"Gr"
"231","Gr8___FeAnSF","FeAnSF",0.0166172740089223,"Gr"
"232","Gr64___FeAnSF","FeAnSF",0.0164163578033633,"Gr"
"233","Or70___FeAnSF","FeAnSF",0.015004366978539,"Or"
"234","Or120___FeAnSF","FeAnSF",0.0142418114867264,"Or"
"235","Ir170___FeAnSF","FeAnSF",0.0138955965594147,"Ir"
"236","Ir7k___FeAnSF","FeAnSF",0.0117335689547687,"Ir"
"237","Ir41i___FeAnSF","FeAnSF",0.0115525297880958,"Ir"
"238","Ir108___FeAnSF","FeAnSF",0.011031765269307,"Ir"
"239","Gr49___FeAnSF","FeAnSF",0.0108865968603092,"Gr"
"240","Gr53___FeAnSF","FeAnSF",0.0108775314363242,"Gr"
"241","Gr78___FeAnSF","FeAnSF",0.01072532613856,"Gr"
"242","Or8___FeAnSF","FeAnSF",0.0102689144019166,"Or"
"243","Ir126___FeAnSF","FeAnSF",0.0101430322806492,"Ir"
"244","Ir141___FeAnSF","FeAnSF",0.0101076480239258,"Ir"
"245","Gr5___FeAnSF","FeAnSF",0.00998566659778955,"Gr"
"246","Gr10___FeAnSF","FeAnSF",0.00952579288562341,"Gr"
"247","Ir100b___FeAnSF","FeAnSF",0.00804399786173884,"Ir"
"248","Ir147___FeAnSF","FeAnSF",0.00763402090343737,"Ir"
"249","Ir75j___FeAnSF","FeAnSF",0.00721156432697161,"Ir"
"250","Gr79___FeAnSF","FeAnSF",0.00711507641945912,"Gr"
"251","Or61___FeAnSF","FeAnSF",0.00686217411219798,"Or"
"252","Gr27___FeAnSF","FeAnSF",0.00676596854898786,"Gr"
"253","Gr7___FeAnSF","FeAnSF",0.00665710527351504,"Gr"
"254","Gr48___FeAnSF","FeAnSF",0.00650751491836648,"Gr"
"255","Ir60a___FeAnSF","FeAnSF",0.00621426778217742,"Ir"
"256","Ir171___FeAnSF","FeAnSF",0.0057230060711059,"Ir"
"257","Ir115___FeAnSF","FeAnSF",0.0056012331453775,"Ir"
"258","Ir114___FeAnSF","FeAnSF",0.0055475877279292,"Ir"
"259","Ir113___FeAnSF","FeAnSF",0.00524608745059424,"Ir"
"260","Ir123___FeAnSF","FeAnSF",0.00495014718413652,"Ir"
"261","Ir104___FeAnSF","FeAnSF",0.0049081864770474,"Ir"
"262","Ir153___FeAnSF","FeAnSF",0.00480237252004006,"Ir"
"263","Ir130___FeAnSF","FeAnSF",0.00478650911400595,"Ir"
"264","Or128___FeAnSF","FeAnSF",0.00388182150038568,"Or"
"265","Or9___FeAnSF","FeAnSF",0.00383047393118273,"Or"
"266","Gr72___FeAnSF","FeAnSF",0.00378706240875534,"Gr"
"267","Or66___FeAnSF","FeAnSF",0.00371261473186089,"Or"
"268","Or74___FeAnSF","FeAnSF",0.00362887141178106,"Or"
"269","Ir135___FeAnSF","FeAnSF",0.00320336117309132,"Ir"
"270","Ir166___FeAnSF","FeAnSF",0.00298540005918679,"Ir"
"271","Ir162___FeAnSF","FeAnSF",0.00267637639213358,"Ir"
"272","Ir110___FeAnSF","FeAnSF",0.00266652040410198,"Ir"
"273","Ir142___FeAnSF","FeAnSF",0.00254020825074334,"Ir"
"274","Ir124___FeAnSF","FeAnSF",0.00251375041773301,"Ir"
"275","Ir133___FeAnSF","FeAnSF",0.00251375041773301,"Ir"
"276","Ir143___FeAnSF","FeAnSF",0.00251375041773301,"Ir"
"277","Ir132___FeAnSF","FeAnSF",0.00250504986946184,"Ir"
"278","Ir125___FeAnSF","FeAnSF",0.00248783555453491,"Ir"
"279","Ir151___FeAnSF","FeAnSF",0.00248783555453491,"Ir"
"280","Ir129___FeAnSF","FeAnSF",0.00247507793582676,"Ir"
"281","Ir7p___FeAnSF","FeAnSF",0.00242939462770499,"Ir"
"282","Ir154___FeAnSF","FeAnSF",0.00240119494753703,"Ir"
"283","Ir121___FeAnSF","FeAnSF",0.0023658801909496,"Ir"
"284","Ir7i___FeAnSF","FeAnSF",0.00235433882462084,"Ir"
"285","Ir7o___FeAnSF","FeAnSF",0.00231666975092759,"Ir"
"286","Ir118___FeAnSF","FeAnSF",0.0023056061980336,"Ir"
"287","Ir102___FeAnSF","FeAnSF",0.00215785325272963,"Ir"
"288","Ir100c___FeAnSF","FeAnSF",0.00211067134792611,"Ir"
"289","Ir101___FeAnSF","FeAnSF",0.00206845435908562,"Ir"
"290","Gr29___FeAnSF","FeAnSF",0,"Gr"
"291","Gr32___FeAnSF","FeAnSF",0,"Gr"
"292","Gr50___FeAnSF","FeAnSF",0,"Gr"
"293","Gr56___FeAnSF","FeAnSF",0,"Gr"
"294","Gr75___FeAnSF","FeAnSF",0,"Gr"
"295","Gr81___FeAnSF","FeAnSF",0,"Gr"
"296","Ir112___FeAnSF","FeAnSF",0,"Ir"
"297","Ir116___FeAnSF","FeAnSF",0,"Ir"
"298","Ir119___FeAnSF","FeAnSF",0,"Ir"
"299","Ir122___FeAnSF","FeAnSF",0,"Ir"
"300","Ir127___FeAnSF","FeAnSF",0,"Ir"
"301","Ir128___FeAnSF","FeAnSF",0,"Ir"
"302","Ir131___FeAnSF","FeAnSF",0,"Ir"
"303","Ir139___FeAnSF","FeAnSF",0,"Ir"
"304","Ir140___FeAnSF","FeAnSF",0,"Ir"
"305","Ir144___FeAnSF","FeAnSF",0,"Ir"
"306","Ir145___FeAnSF","FeAnSF",0,"Ir"
"307","Ir146___FeAnSF","FeAnSF",0,"Ir"
"308","Ir148___FeAnSF","FeAnSF",0,"Ir"
"309","Ir152___FeAnSF","FeAnSF",0,"Ir"
"310","Ir155___FeAnSF","FeAnSF",0,"Ir"
"311","Ir156___FeAnSF","FeAnSF",0,"Ir"
"312","Ir160___FeAnSF","FeAnSF",0,"Ir"
"313","Ir164___FeAnSF","FeAnSF",0,"Ir"
"314","Ir167___FeAnSF","FeAnSF",0,"Ir"
"315","Ir168___FeAnSF","FeAnSF",0,"Ir"
"316","Ir169___FeAnSF","FeAnSF",0,"Ir"
"317","Ir172___FeAnSF","FeAnSF",0,"Ir"
"318","Ir41h___FeAnSF","FeAnSF",0,"Ir"
"319","Ir7b___FeAnSF","FeAnSF",0,"Ir"
"320","Or127___FeAnSF","FeAnSF",0,"Or"
"321","Or21___FeAnSF","FeAnSF",0,"Or"
"322","Or60___FeAnSF","FeAnSF",0,"Or"
"323","Or75___FeAnSF","FeAnSF",0,"Or"
"324","Or96___FeAnSF","FeAnSF",0,"Or"
