"","cs1","cs2","cs3","symbol","fbgn","cs1.tpm","cs2.tpm","cs3.tpm","family","TPM.median"
"1",1844.62974689925,1920.41726144335,1859.71550874274,"Orco","FBgn0037324",2763.48481017573,2847.99941128615,2838.08591662028,"Or",2838.08591662028
"2",245.237912567646,232.929639054514,246.605612256068,"Or59b","FBgn0034865",367.396897615415,345.437154839863,376.341387601069,"Or",367.396897615415
"3",157.333928210405,157.035962304817,166.734785040011,"Ir76b","FBgn0036937",235.705794870541,232.886017624492,254.451631450166,"Ir",235.705794870541
"4",110.591377601214,144.988896875448,169.770999558265,"Or42b","FBgn0033043",165.67963985786,215.020090287022,259.085156106806,"Or",215.020090287022
"5",113.444474854954,130.089847773115,141.814388804321,"Or92a","FBgn0038798",169.953934434275,192.924640551127,216.42096210283,"Or",192.924640551127
"6",128.478930098927,116.936713734096,134.446484829971,"Or47b","FBgn0026385",192.477418491618,173.418401593692,205.176906543627,"Or",192.477418491618
"7",112.702577065368,111.253203304212,99.8583971875537,"Ir25a","FBgn0031634",168.842479262487,164.989694622905,152.392508091664,"Ir",164.989694622905
"8",103.530304408372,100.065849662097,100.344439681283,"Ir75a","FBgn0036757",155.101273904065,148.398729093547,153.134250766738,"Ir",153.134250766738
"9",97.6387361465273,79.4428266463244,79.7883938277344,"Gr10a","FBgn0045502",146.274971808975,117.81456460644,121.763955705964,"Gr",121.763955705964
"10",72.3261143995652,86.2617966426295,77.900009994052,"Or43b","FBgn0026393",108.353515852278,127.927170301548,118.882119458241,"Or",118.882119458241
"11",66.5778712594038,76.533761201654,76.8203869455471,"Ir8a","FBgn0052704",99.7419326173573,113.500389327893,117.234521772027,"Ir",113.500389327893
"12",37.8224875301622,75.9962357723312,68.395818298537,"Ir75d","FBgn0036829",56.6627909738318,112.703233346743,104.377904983988,"Ir",104.377904983988
"13",76.6549744880538,54.5104069306537,66.1131886758579,"Or22b","FBgn0026397",114.838686721946,80.8395185589984,100.894415732793,"Or",100.894415732793
"14",65.2896448502387,62.6541123463378,56.8910971836371,"Or47a","FBgn0026386",97.8120092168597,92.9167210999319,86.820710446789,"Or",92.9167210999319
"15",44.4992833361108,57.571269829423,62.6078663252475,"Or7a","FBgn0030016",66.6654616026664,85.3788110912738,95.5449921517595,"Or",85.3788110912738
"16",56.7016511531482,62.1073862171723,48.4497885171702,"Or9a","FBgn0030204",84.9461264175129,92.1059203821609,73.9385469483835,"Or",84.9461264175129
"17",54.2091344617395,53.179424993646,57.8705616149614,"Or65b","FBgn0041624",81.2120263752708,78.8656580604829,88.3154574633644,"Or",81.2120263752708
"18",48.1223613665011,56.5448182829845,52.0830225549205,"Or67d","FBgn0036080",72.0932831586699,83.8565724306124,79.4831747722895,"Or",79.4831747722895
"19",47.8395611624851,51.3854202950652,56.5184456893782,"Or10a","FBgn0030298",71.6696132761765,76.2051298367557,86.2520121955288,"Or",76.2051298367557
"20",52.6506218459645,50.0331723925635,48.5801019262831,"Or65a","FBgn0041625",78.8771806169818,74.1997316831569,74.1374164256834,"Or",74.1997316831569
"21",45.6522393440279,48.7283801058611,52.5644992732987,"Or22a","FBgn0026398",68.3927331161156,72.2647107171475,80.2179496812398,"Or",72.2647107171475
"22",32.7066318047676,45.471193391219,51.0213130783576,"Or98a","FBgn0039551",48.9986027474718,67.4342678587149,77.8629147385318,"Or",67.4342678587149
"23",41.0509415488813,46.9521901968367,43.9122988987873,"Or85b","FBgn0037590",61.4994166739639,69.6306020175455,67.0139472866593,"Or",67.0139472866593
"24",42.2662633179841,38.8731315447389,45.3686776551242,"Ir64a","FBgn0035604",63.320119855205,57.6492713208888,69.2365066072615,"Ir",63.320119855205
"25",34.3840795728748,40.0393390949266,38.4470651450169,"Ir75b , Ir75c","FBgn0261402 , FBgn0261401",51.5116281580289,59.3787696351642,58.6735302310959,"Ir",58.6735302310959
"26",36.9674578918474,37.6176611363667,32.6674084463299,"Gr64f","FBgn0052255",55.381850220434,55.7873952298334,49.8532767018166,"Gr",55.381850220434
"27",27.9172885335745,32.7049841784572,33.062078445559,"Ir40a","FBgn0259683",41.8235707916512,48.5018425716316,50.4555770866113,"Ir",48.5018425716316
"28",27.8479595687018,31.2925676709599,32.3475597055318,"Or35a","FBgn0028946",41.7197073785987,46.4072137310119,49.3651599966322,"Or",46.4072137310119
"29",37.0478918733353,29.0048603738662,30.1737201461089,"Or43a","FBgn0026389",55.5023503297039,43.0145192545932,46.0476937446241,"Or",46.0476937446241
"30",24.0114776246107,31.5260942953701,30.1165323325176,"Or88a","FBgn0038203",35.9721802150414,46.7535362215418,45.9604202194033,"Or",45.9604202194033
"31",33.8153311879801,26.0771397257999,27.2390208033508,"Or85a","FBgn0037576",50.6595723321319,38.6726781091765,41.5690899823598,"Or",41.5690899823598
"32",28.1042094842178,27.6914388516828,25.6811884799105,"Or56a","FBgn0034473",42.1036016263889,41.0667010397446,39.1917037870911,"Or",41.0667010397446
"33",21.6115334449879,26.6362986672888,40.7637912379531,"Gr63a","FBgn0035468",32.3767653103401,39.5019168210692,62.2090536303034,"Gr",39.5019168210692
"34",22.4050420626267,22.3336025384094,24.9121293515794,"Or67a","FBgn0036009",33.5655399223045,33.1209722794742,38.0180533707217,"Or",33.5655399223045
"35",22.3790573592348,17.9241437733422,27.9752462302468,"Or13a","FBgn0030715",33.526611604445,26.5816976024889,42.6926333446151,"Or",33.526611604445
"36",19.203083946641,21.2480397765777,25.6811884799105,"Or67c","FBgn0036078",28.7686083802325,31.5110710519216,39.1917037870912,"Or",31.5110710519216
"37",18.9227469547193,19.4150967301576,16.4691667519759,"Or65c","FBgn0041623",28.3486286958495,28.7927968404088,25.1333658280094,"Or",28.3486286958495
"38",14.8108892141646,18.3505798070444,22.0124472684947,"Ir31a","FBgn0051718",22.1885543358176,27.2141068175687,33.5928889603638,"Ir",27.2141068175687
"39",18.0048758644231,18.7809451911201,15.6824430021659,"Or82a","FBgn0041621",26.9735436306777,27.8523433014277,23.9327576790157,"Or",26.9735436306777
"40",23.6264135006261,14.8095841651334,16.9507615329585,"Ir76a","FBgn0260874",35.3953062600574,21.9627722737676,25.8683209106545,"Ir",25.8683209106545
"41",13.5815674443527,13.6282539270512,12.9972992665735,"Or83c","FBgn0037399",20.3468774120857,20.2108468510269,19.8349972504661,"Or",20.2108468510269
"42",11.0405349076043,13.2401425458903,16.9257629525854,"Or67b","FBgn0036019",16.5400945987487,19.6352735070188,25.8301709255849,"Or",19.6352735070188
"43",13.8573768968267,13.2312580874748,12.1990163433776,"Or23a","FBgn0026395",20.7600742792056,19.6220977598285,18.6167488080834,"Or",19.6220977598285
"44",9.76442034492083,13.1795273749313,20.4507533744461,"Gr21a","FBgn0041250",14.6283162508457,19.5453805578811,31.2096096760137,"Gr",19.5453805578811
"45",12.5378411702195,13.090024361175,15.1150979665275,"Gr64c","FBgn0045477",18.7832456266846,19.4126466278108,23.0669403279531,"Gr",19.4126466278108
"46",10.8884983013405,12.3246424064299,14.8282695936906,"Ir84a","FBgn0037501",16.3123248510761,18.2775769737895,22.6292155460664,"Ir",18.2775769737895
"47",8.24422548477736,11.8785547505423,12.7948981750444,"Ir21a","FBgn0031209",12.3508752567516,17.6160241920804,19.5261157658105,"Ir",17.6160241920804
"48",9.97289744217885,10.2277516031649,13.0880684385,"Or69a","FBgn0041622",14.9406408745326,15.1678654058245,19.9735188185752,"Or",15.1678654058245
"49",9.51895741130463,9.37050883763969,11.7087485470716,"Or2a","FBgn0023523",14.2605822437096,13.8965651834393,17.8685579576403,"Or",14.2605822437096
"50",8.3639619179279,9.79577793260951,9.1033670495785,"Or49b","FBgn0028963",12.5302553273551,14.5272438158538,13.8925215689041,"Or",13.8925215689041
"51",9.64709086147051,9.0521446311188,8.59631618963244,"Or46a","FBgn0026388",14.4525420902881,13.4244276480453,13.1187183189672,"Or",13.4244276480453
"52",9.29196688841967,7.22136177022152,8.50865750186044,"Gr64b","FBgn0045478",13.9205222055904,10.7093570148489,12.9849436173714,"Gr",12.9849436173714
"53",8.42103729997251,5.04290742789006,11.6223481125004,"Or85f","FBgn0037685",12.6157613491356,7.47868584299597,17.7367034587163,"Or",12.6157613491356
"54",7.10796318489948,7.66184002252884,8.79363228509452,"Or19b","FBgn0062565",10.6486129944379,11.3625909908405,13.419839662001,"Or",11.3625909908405
"55",6.86042217846019,6.74632470518207,8.57864860380804,"Ir92a","FBgn0038789",10.2777657757261,10.0048719486427,13.0917560624967,"Ir",10.2777657757261
"56",5.63390979821884,5.49896850890015,5.983614166889,"Ir62a","FBgn0053971",8.44029766702464,8.15502932121021,9.1315101786821,"Ir",8.44029766702464
"57",4.79302212666711,3.99250001319144,6.48987669467688,"Gr93a","FBgn0041229",7.18054333892524,5.92092037257737,9.90411036590037,"Gr",7.18054333892524
"58",3.53538754597335,2.93520697278415,2.32283510780103,"Ir41a","FBgn0040849",5.29645030272594,4.3529434453268,3.5448462816434,"Ir",4.3529434453268
"59",2.32856123756496,2.8898149564211,3.33961930854471,"Or33a","FBgn0026392",3.48847437833617,4.2856265978507,5.09654647815546,"Or",4.2856265978507
"60",2.84318527395979,2.95720141220411,1.98565890308586,"Or19a","FBgn0041626",4.25944519777516,4.38556143506126,3.03028637529055,"Or",4.25944519777516
"61",2.42423198075532,3.54925153167787,1.48240724752386,"Ir60a","FBgn0034994",3.63180105190262,5.26357811693896,2.26228103820976,"Ir",3.63180105190262
"62",2.31346157170326,2.53287891376423,1.33629646773422,"Gr43a","FBgn0041243",3.46585320066208,3.75628661546086,2.03930341370862,"Gr",3.46585320066208
"63",0,3.96108451531138,2.0897892976419,"Gr64d","FBgn0035486",0,5.87433085202682,3.18919831902188,"Gr",3.18919831902188
"64",2.07750637720602,1.47328473027118,2.07273514769253,"Gr66a","FBgn0035870",3.11236296937243,2.18489706831506,3.16317221849,"Gr",3.11236296937243
"65",1.36981277271904,1.86511992740821,2.8426670313619,"Ir93a","FBgn0259215",2.05214992144465,2.76599287138481,4.33815453461652,"Ir",2.76599287138481
"66",1.84474228477659,1.04657416959732,2.3926573117929,"Ir51b","FBgn0050081",2.76365340591432,1.55208072678969,3.65140097395259,"Ir",2.76365340591432
"67",3.02926101500155,1.79019265852173,1.76301065079477,"Gr61a","FBgn0035167",4.53820980339614,2.65487492740342,2.69050598080717,"Gr",2.69050598080717
"68",1.44834470848543,1.48360094720087,1.44501842025129,"Gr64a","FBgn0045479",2.16980052963251,2.20019612874965,2.20522247004577,"Gr",2.20019612874965
"69",1.31913130600507,1.06387393019676,2.01286153217185,"Gr28b","FBgn0045495",1.97622278015416,1.57773645744355,3.07179992838028,"Gr",1.97622278015416
"70",1.14613598576249,1.08372528730597,2.00113156986315,"Or33c","FBgn0026390",1.7170542719343,1.60717623310864,3.05389899639671,"Or",1.7170542719343
"71",1.09343645117484,0.689263605087223,1.21213916676733,"Or83a","FBgn0037322",1.63810381394613,1.02218532447163,1.84982868724471,"Or",1.63810381394613
"72",1.16121672241726,0.274496207639999,0.868912392177422,"Or33b","FBgn0026391",1.73964709130185,0.407080822201858,1.32603509054068,"Or",1.32603509054068
"73",0.899311863828586,0.850341512797823,0.0996940546580375,"Ir94b","FBgn0051424",1.34728103538323,1.26106559051663,0.152141707248025,"Ir",1.26106559051663
