"","Accession","Gene.x","Gene.y"
"190","AGAP029152","AgamIr138",NA
"191","AGAP029153","AgamIr165",NA
"192","AGAP029154","AgamIr156",NA
"193","AGAP029155","AgamIr105",NA
"194","AGAP029158","AgamIr150",NA
"195","AGAP029159","AgamIr137",NA
"196","AGAP029160","AgamIr134",NA
"197","AGAP029162","AgamIr174",NA
"198","AGAP029164","AgamIr131",NA
"199","AGAP029165","AgamIr132",NA
"200","AGAP029169","AgamGr64",NA
"201","AGAP029170","AgamIr146",NA
"202","AGAP029171","AgamIr144",NA
"203","AGAP029172","AgamIr160",NA
"204","AGAP029174","AgamIr142",NA
"205","AGAP029175","AgamGr61",NA
"206","AGAP029177","AgamIr109",NA
"207","AGAP029178","AgamIr120",NA
"208","AGAP029179","AgamIr101",NA
"209","AGAP029182","AgamIr130",NA
"210","AGAP029183","AgamIr108",NA
"211","AGAP029184","AgamIr110",NA
"212","AGAP029188","AgamIr75g","AgamIr141"
"213","AGAP029199","AgamGr62","AgamGr62"
"214","AGAP029200","AgamIr136","AgamIr206"
"215","AGAP029201","AgamIr173","AgamIr199"
"216","AGAP029202","AgamIr133","AgamIr203"
"217","AGAP029207","AgamIr106",NA
"218","AGAP029208","AgamIr119","AgamIr146"
"219","AGAP029209","AgamIr164","AgamIr162"
"220","AGAP029210","AgamIr140","AgamIr168"
"221","AGAP029212","AgamIr117","AgamIr144"
"222","AGAP029213","AgamIr141",NA
"223","AGAP029215","AgamIr123","AgamIr150"
"224","AGAP029216","AgamIr113","AgamIr155"
"225","AGAP029217","AgamIr122","AgamIr149"
"226","AGAP029220","AgamIr107","AgamIr156"
"227","AGAP029222","AgamIr126","AgamIr153"
"228","AGAP029223","AgamIr143","AgamIr170"
"229","AGAP029225","AgamIr127","AgamIr154"
"230","AGAP029226","AgamIr158","AgamIr195"
"231","AGAP029227","AgamIr149","AgamIr176"
"232","AGAP029228","AgamIr159","AgamIr196"
"233","AGAP029229","AgamIr153","AgamIr180"
"234","AGAP029230","AgamIr125","AgamIr152"
"235","AGAP029232","AgamIr152","AgamIr179"
"236","AGAP029233","AgamIr148","AgamIr175"
"237","AGAP029499",NA,"AgamOr21"
"238","AGAP029705",NA,"AgamOr50"
"239","AGAP029834","AgamIr169",NA
"240","AGAP029835","AgamIr168",NA
"241","AGAP029836","AgamIr171",NA
"242","AGAP029837","AgamIr167",NA
"243","AGAP029838","AgamIr170",NA
